リンク,仕事内容,必要なスキル・経験
https://www.green-japan.com/company/869/job/212297,"マネジメントに特化したい？者として手も動かしたい？pjは自分で選べる！希望のキャリアパスを描こう
もっと経験の幅を広げたいと考えているエンジニアの方が多いように感じますが、こんなご希望をお持ちではないでしょうか？

「マネジメントの経験を極めてpmとして活躍したい」
「上流工程だけではなく者として手も動かすプレイングマネージャーを目指したい」
「バックエンドだけでなくフロントエンドやインフラ領域も触りたい」

上記のような希望も弊社であれば叶えることができます！
なぜかというと、プロジェクトにアサインする前に営業担当がエンジニアの希望を丁寧にヒアリングし、それに見合った案件のみを提案しているからです。
そのため希望するキャリアパスに沿ったプロジェクトに参画することが可能になっています。


クライアント一例
webサービスのに特化しており、下記のような企業に客先常駐としてに携わることが多いです。
　①0⇒1でプロダクトをこれからする自社企業のスタートアップ
　②数年前にプロダクトをローンチしており、1⇒10のフェーズでプロダクトの品質改善・リファクタリングも行いつつ、別の新規事業にてプロダクトの新規に携わることができるベンチャー企業
　③社内で20～30の事業部を持っておりプロジェクトの異動がしやすいメガベンチャーやitによる事業推進について積極的な事業会社

■希望すれば技術選定から携わるチャンスは多くあります。
■多くの案件ではエンド企業のプロパーのエンジニアとの役割・業務内容の差がないため、設計～実装（テストコードの実装も含めます）～テストまで一貫して担当して頂く想定です。

■これまではphpやjavaの案件が7割以上を占めていましたが、直近ではreactやvue.jsモダンなフレームワークをした案件も増えてきています。
　案件実例
　・phpエンジニア⇒php＋vue.jsでフロントエンドも担当する案件にアサイン
　・javaエンジニア⇒未経験のgoへのリプレイス案件に挑戦
■クライアントとの直接契約の案件で上流工程の経験を積みつつ、入社後２～３年後までに以下のようなキャリアパスを描くことができます。
　・数名のチームリーダー⇒手も動かしつつプロジェクト管理もできるプレイングマネージャーへ
　・クラウドインフラも手掛ける案件に参画⇒フロントエンド＋インフラ構築・チューニングもできるフルスタックエンジニア

■案件実例
1. btobの人事労務の効率化を目指すhrテックのsaasプロダクト
　　▪言語fw：ruby、ruby  rails、vue.js
　　▪チーム体制：全体10名　フロントエンドバックエンドqaデザイナーと4チーム
　　　　　　　（バックエンドチーム5名に所属）
　　▪タスク管理：jira
　　▪コミュニケーションツール：slack

　2. シニアの人が介護施設を見つけるためのマッチングプラットフォームのリプレイス
　　▪php（zend framework）からのリプレイス
　　▪言語fw：ruby  rails、react、typescript
　　▪チーム体制：3名　うち1名がチームリーダー
　　▪コミュニケーションツール：slack

　3. btob受発注プラットフォームのフロントエンド
　　▪vue.jsのバージョンアップ及び改修（vue2vue3）
　　　　▪変更が必要なファイル数：300ファイル以上
　　　　▪画面数：約72画面
　　▪言語fw：typescript、vue.js
　　▪チーム体制：7名　うち1名がチームリーダー

★アスペアのカルチャーに共感し長く働いていただける方を募集しています★
弊社hpをはじめ様々な情報を幅広くご確認いただき、ご応募いただけますと幸いです！
（弊社hpに社員インタビュー等も掲載しております）
※なお弊社新制度の『入社お祝い金制度』はgreen経由の応募の方は対象となりません",フロントエンドエンジニア
https://www.green-japan.com/company/10011/job/245775,"具体的な業務内容（業務の変更範囲：会社の定める業務）
・djangoを用いたバックエンドのapi設計    
・vue.js  reactを用いたフロントエンド設計    
・外部連携システムの
・各種スクラムイベントへの参加

◎弁護士をはじめとするコンテンツチームのメンバーと協働しながらサービスをしていきます。


・os：macos windows
・言語：pyth javascript typescript
・フレームワーク：djangovue.js react
・インフラ aws gcp azure k8s
・その他 github slack figma noti zoom etc.

プロダクト
契約書レビューaiクラウド「lecheck」は、契約書の作成からレビュー、翻訳、管理やノウハウ共有までを低価格で実現しています。
「lecheck」はwordアドインによるご提供も行っており、ユーザーのリーガルチェックニーズに包括的に対応するクラウド型リーガルテックサービスです。

 契約書自動aiレビュー機能で条項の見落としリスクを軽減
 契約書ファイルを安全に保管するキャビネット機能で契約書の紛失を防止
 海外取引における英文契約書チェック機能で欠落条項、要注意条項等を検知
 契約書作成支援機能で簡単に契約書を作成


▼最新技術を実践する機会が豊富
技術スタックやアーキテクチャの検討はメンバーが主体となって行なっており、プロダクトを成長させる最新技術やアイデアを積極的に実践し、取り入れています！
また、aws・gcp・azure全ての認定スタートアップに採択された実績があり、技術でプロダクトの成長をリードしていくことが出来ます。

▼少数精鋭メンバーでのスクラム
現在はエンジニア10名程度でプロダクトをしています。
プロセスにはスクラムを取り入れており、ポジションや業務経験に関わらず、一緒に働くメンバー同士で業務改善についてフランクに話し合い、実践する環境が整っています。
csm認定者も複数名在籍しており、より良い環境をみんなで作り上げていっています。

▼プロダクト成長につながることは積極的に取り入れる
働き方や業務・プロセス、プロダクトの成長につながることは積極的に取り入れる社風です！
部署やチームの枠組みを越えて、全社一丸となってプロダクト・会社の成長に取り組んでいます。
また、メンバーはリモートワークがメインになっており、メンバーの中には遠隔地在住の者もいます。（もちろん出社希望も大丈夫です）",aiと弁護士の知見で企業の法務リスクを減らし、滑らかな活動を支援します。合理的な価格で提供する法務サポートで、企業に安心をもたらします。
https://www.green-japan.com/company/7275/job/280831,"pythでキャリアを作っていきたい、
pythフレームワークに触れてスキルを伸ばしたい方、大歓迎です！
独学でpythでの経験があれば是非ご連絡ください！

pythと一言で言っても、様々なサービス、プロダクトがあります。
弊社であれば、サービスなのか、データ分析なのか、ゲームなのか
「何をやりたいか」を一緒にしっかりすり合わせて決めていきます！

▼こんなpythのプロジェクトがあります！
=======================
■ヘルスケアサービスの
pyth、react、aws

■動画配信システムの
pyth（django、bootstrap）、github、aws、docker、アジャイル

■バーチャル空間のプラットフォーム
pyth、unreal engine

■飲食店向けの新規webサービス
pyth（django）、php（laravel）、vue.js、aws

■データ分析支援
pyth、aws、tableau
=======================

上記のようなモダンな環境で、pythの経験を伸ばしていきたい方はぜひご連絡ください！
まずはwebご連絡お待ちしております！",メーカー、教育、医療多様なシステムのを担当してきました。今後もエンジニアの「キャリアの選択肢を増やす」ために新規事業も行っていきます！
https://www.green-japan.com/company/8705/job/238694,"
事業会社様向け弊社プライム案件または上場企業sier様向けの案件にて、上流工程から保守まで様々な案件に携われます。

「自分の力を試したい！スキルアップしたい！」
「お客様の事業を考えながら仕事をしたい！」
「自分の意見をサービスに反映したい！」
「クラウドや最新のサービス組み合わせたモダンなを行いたい！」、意欲的な方大歓迎です。


受託またはお客様のプロジェクトでのまたは保守

※ご経験に応じてスタートするポジションはご相談可能です。
　事業会社様またはシステム会社様向けの案件となります。お客様とはリモート対応となるため常駐はございません。

環境
言語：php、pyth、react.js
インフラ：awsgcpazure
作業環境：googleworkspaceslackgithubbacklogcfluence
　　　　　pcはご希望に応じてwindowsまたはmacを選択

ポイント
■働き方
・清算期間3か月のフレックスタイム制
1カ月ごとに勤務時間を区切るのではなく、3か月ごとに区切っているので、仕事とプライベートの両立がしやすい環境で働いていただけます。

■働く環境
・1人1台以上のマルチディスプレイ
・グレードによっては、フルリモート可能",フロントエンドエンジニア
https://www.green-japan.com/company/2065/job/277754,"2019年からスタートしたai・ar事業。一緒に会社の新しい柱を築きませんか？
フルリモート、フルフレックスと働き方も自由。一人一人がフルスタックで活躍し、責任ある仕事を毎日こなしています。

足測定アプリケーションのをご一緒にやっていただける方を募集しております。

《業務内容例》
足を測定し、靴を購入する際の参考になるデータを取得するスマートフォンアプリをしています。
現状は精度向上及びuiが課題になっています。
この募集では主にスマートフォンアプリリリースを目指すプロジェクトに参画していただきます。

《採用担当者より》
こういった技術に興味や関心が強く、粘り強くやっていただける方を募集しています。",ai・ar技術を活用し、新たなビジネスを創造する事業です。空間認識技術や画像処理技術を駆使して、革新的なアプリケーションを実装します。
https://www.green-japan.com/company/3581/job/231781,"
主に製薬企業や研究機関の顧客に対して、下記領域の新規、派生、保守等をサブリーダークラス相当のポジションで取り組んでいただきます。
  創薬支援プラットフォームや関連システム
  itインフラ（awsクラウドサービスの仮想環境がメイン）
以下の技術や環境をベースに日々の業務をサポートリードしていただくことを想定しています。
なお、チームや事業部のメンバーとの話し合いにより、技術環境や業務効率化の向上に対する提案ができる風通しのよい職場です。

[技術環境]
  言語 pyth r javascript 
  フレームワーク vue react django 
  データベース postgresql mysql oracle database 
  支援環境 github github copilot visual studio code 
  インフラ aws azure オンプレミス
  情報共有 teams discord noti",ライフサイエンス分野に特化したitインフラ環境を提供します。サーバー構築から保守まで、全ての工程でお客様をサポートするサービスです。
https://www.green-japan.com/company/3664/job/280484,"クライアント様からご依頼を頂いたシステムの設計〜実装の業務を遂行して頂きます。

▼具体的な業務内容の一例
・ナショナルクライアント様からご依頼頂いた新規バックエンド及びフロントエンドの
・ec案件の改修作業やメンテナンス
・vrar案件の要件定義〜
・lineミニアプリでの機能追加や導入支援

▼環境一例
バックエンド：ruby・node.js・java(springboot)・php(laravel)
フロントエンド：typescript・vue.js
パブリッククラウド：aws
データベース：rdb・nosql
コミュニケーションツール：teams・zoom",web系のシステムを主とするシステムインテグレーション事業です。要件定義からまで全てをカバーし、多様な技術スタックで対応しています。
https://www.green-japan.com/company/9149/job/250376,"業務内容
顧客の要望に基づいたデータ分析、解析、フィジビリティ、レポーティング、及びpythによるプログラミング


プロジェクト毎に指定の環境を利用

言語
　要件によって変化
・各種script言語
・pyth

※全ての工程においてのスキルが必須ではなく、チームとして得意領域を補完し合う形で仕事を進めていきますのでご安心ください

エンジニアとして新しいチャレンジが叶う環境
現在、案件の約半数が車載系のhmiですが、その他にも最先端技術を活用した案件や珍しいプロジェクトもあり、案件のバリエーションが豊富です。

また、フランクな場での対話から生まれるアイデアを大切にしており、それらアイデアをチームでカタチにしています。
実際に、京セラ様と実現した『高精細 空中ディスプレイ』では、従来の映像を投影するだけではなく、『空中に浮かぶ映像に触れる感触はないけど、直感的にジェスチャー操作できるものを作ろう！』そんな自由な発想で実装しました。

多種多様な案件に上流工程から携わるため、『より良いプロダクトを自らの手でつくっている』実感を得ることができます。

スーパーフレックスタイム制 ※コアタイム無し 標準労働時間帯／9：00～18：00（1日の標準労働時間8時間） フレキシブルタイム／5：00～22：00",フロントエンドエンジニア
https://www.green-japan.com/company/10289/job/274967,"
◆生成aiを用いたpoc・システム
pocでは、生成aiを用いた新しいサービスや検証を、顧客企業様と一緒に行っています。
プロンプトデザインはもちろん、ファインチューニングやragの領域に踏み込み、生成ai領域に挑戦したいpmにとっては面白い案件が沢山あるでしょう。
本では、生成aiを業務の中に導入したり、llmのapi連携の実装をしたり、業務効率化or新規ビジネス創出のお手伝いをしています。

◆自立型aiエージェントpoc
生成aiの出現により、自然言語で業務を補助する「自律型ai」という分野が誕生しました。
顧客企業の業種・業務に特化した専門的なaiアシスタントで既存業務を代替していく提案を行なっています。

◆自社プロダクトとしての新規aiサービス
絶賛中のサービスです。
複数人格を持ったaiアバタープラットフォームの。
chatgptを活用するためのchrome拡張の。


自社プロダクトのor受託案件の
■
・⼯数⾒積もり
・基本設計、詳細設計
・
・単体テスト∕結合テスト∕システムテスト
・リリース 

■品質管理
・コードレビュー
・ui∕ux含めた動作
・設計書
・テスト仕様書、および、実⾏結果 

言語・環境
・言語：typescript  pyth
・フロントエンド：react  next.js
・バックエンド：fastapi
・インフラ（クラウド）：aws  ec2  ecs  lightsail  lambda  dynamodb
・その他：jest  cypress  circleci  docker  git  figma

実績
・新規事業室での「リサーチ」「分析」「事業計画検討」を70％自動化するaiエージェント
・社内お問い合わせの1次回答を自動化するrag型のチャットボット
・過去事例や最新情報を加味して、10秒で記事のたたき台を作成できるaiプロダクト
・お客様からのメール対応の工数を80％削減したaiメール
・サーバーやai pcを活用したオンプレでの生成ai活用
・生徒の感情や学習状況を踏まえ、勉強をアシストするaiアシスタント 


・ai社員による自動メールシステム・営業支援アシスタント
・業界専門技術に対応したaiチャットボット
・効率的な求人票の自動作成ai
、大手企業様をはじめとして、製造、飲料メーカー、エネルギー、インフラ、人材の領域でのプロジェクトに取り組んできた実績があります。",お客様の課題を生成aiで解決するソリューションを提供するサービスです。 pocでの精度検証を行い実現可能性を確かめて本へつなげます。
https://www.green-japan.com/company/5996/job/181224,"部署にて、バックエンド（自社サービスの機能・プロダクト）をご担当いただきます。

＜お任せする仕事内容＞
・自社サービス向け新機能の設計・
・新プロダクトの設計・
・自社サービスの保守・
・クライアント案件の新規・保守・（お客様対応はありません）
・リーダーとしてメンバーのサポート

＜環境＞
・言語：node.js java
・フレームワーク express koa
・インフラ：aws
・その他ツール： git github slack asana googledrive box
・環境：mac windows

＜働く環境について＞
・フルリモートの仕事環境で、部署はフレックスタイム（コアタイムあり）となっています。
・平均残業時間は月15時間程度（全社）です。各自がパフォーマンスを出しやすい環境を整えたり、仕事管理ツールのasanaを活用する、ワークライフバランス生産性を意識した働き方に注力しています。

＜スキルアップ・キャリア＞
・定期的な勉強会を実施する、スキルアップに向けたインプットの場も豊富。
・技術を極めたい方にはテックリーダーとしてのキャリアパス、 plpmマネジメント方面を目指したい方にはマネジメント用のキャリアパスを整備してあります。",世界シェアno.1のecプラットフォーム「shopify（ショッピファイ）」に特化したecサイトの構築と支援を行っています。
